customer_id	account_number	account_type	account_balance
101571684	631336038	savings	74.67
102391698	41192756	savings	1232.59
172043022	673085514	savings	3927.16
173532139	543461624	savings	8843.43
182046691	303622596	savings	1441.22
185087986	616345398	savings	6525.00
306561062	598255855	savings	878.01
321814559	957793917	savings	8562.51
753521368	234745312	savings	8093.86
107012483	269308195	savings	3377.70
107018299	391323890	savings	3138.39
145905469	832691875	savings	2015.80
149447554	944371711	savings	1923.92
221768372	542567300	savings	8665.92
228641820	926516153	savings	5168.05
230023176	471976747	savings	9464.48
240885881	762096410	savings	5838.67
256049755	413618127	savings	1689.60
283027380	512848650	savings	7524.06
296837757	630567409	savings	5722.25
308977335	130430189	savings	7438.89
385891261	366966264	savings	4436.43
423456789	864799660	savings	5449.26
464745931	406733617	savings	9601.59
479583491	22485924	savings	3706.53
487821862	817067793	savings	7279.24
498558351	226279682	savings	8564.83
512233580	448435778	savings	4314.48
514327696	765312374	savings	3907.69
519282621	117225486	savings	6124.09
523456789	714606319	savings	4419.32
590752990	87568812	savings	9791.49
623456789	227738779	savings	2395.83
645013108	854745961	savings	7296.33
699281889	817202750	savings	3803.76
723456789	753231244	savings	7536.82
759129944	282525979	savings	8864.88
767711085	264836303	savings	5696.02
787365949	633015272	savings	4889.63
788327896	261963561	savings	6725.06
807562098	865674097	savings	5984.56
860381565	51250570	savings	998.59
961532374	627417293	savings	5361.56
107513713	384169262	savings	5252.64
116038141	544937048	savings	3448.58
224199639	740037231	savings	3130.71
243283441	899246419	savings	1352.50
243599720	486810100	savings	4985.14
251020925	229362492	savings	1513.44
280388304	239724603	savings	5312.53
281917658	91690859	savings	6471.85
315466028	862706037	savings	4309.74
320090430	540831302	savings	39.05
340612826	676119067	savings	4602.67
370619268	101512371	savings	5552.94
401544506	53106797	savings	1841.91
405545318	255609441	savings	9931.37
559716962	819480646	savings	821.67
598708052	515460933	savings	7201.28
655245985	954456356	savings	8945.04
678325950	362243804	savings	9837.66
681968180	209184288	savings	5496.33
734783088	408972952	savings	1823.79
738520455	877746666	savings	3338.03
768253114	367612098	savings	4980.56
854155949	518456357	savings	7859.55
884807449	447612947	savings	6955.66
896012044	536283768	savings	9166.68
896187673	122430262	savings	6886.92
954504541	875247484	savings	295.44
957367964	521259072	savings	403.61
976093589	69045275	savings	4311.50
995894500	449628627	savings	4022.95
101154450	106069298	savings	5425.73
107537026	682718324	savings	7819.30
109566079	961689298	savings	2239.59
157834749	804577312	savings	5176.35
249849795	879284556	savings	9343.56
309246610	555476294	savings	5842.84
323290432	845547233	savings	6614.24
337689542	868111714	savings	291.29
339801685	619163411	savings	4718.87
377648552	94058160	savings	9644.60
379665922	807242304	savings	4158.39
402139305	39815596	savings	2266.79
417906597	364321628	savings	1015.43
467880015	601316897	savings	6992.48
475174199	363704162	savings	7416.52
476395975	860778274	savings	4524.51
516667749	42251159	savings	1714.93
582959263	139080887	savings	5032.68
591701279	631158535	savings	1987.19
623846578	221833381	savings	3958.53
650520535	681295881	savings	5114.31
686577571	32043640	savings	6204.16
737587797	617829393	savings	6151.42
791385336	511787065	savings	5736.25
803382196	716453008	savings	7534.16
804468290	828360513	savings	2886.37
812199213	924611421	savings	7487.43
813103156	603181380	savings	1062.60
813141680	290003609	savings	2847.48
819474523	914393013	savings	9107.84
847967465	321345162	savings	1745.08
849032522	19003221	savings	3694.99
860832766	843939894	savings	8482.37
866873014	2106134	savings	8824.41
953183502	318217564	savings	5123.50
993447467	498437036	savings	6708.93
102702547	283090207	savings	8379.90
108960926	57038479	savings	5100.17
146897580	340873689	savings	6432.21
166323333	928378478	savings	8169.04
246477770	631147558	savings	5777.80
272293575	243945562	savings	2333.57
315921553	386469122	savings	1772.13
409222565	101644596	savings	3282.53
434116790	475517116	savings	2868.77
510589984	810232917	savings	4436.66
549328325	607153832	savings	6728.78
551402409	696019378	savings	8513.04
616854190	817832155	savings	2793.45
629448052	878097809	savings	5608.10
746003950	659513729	savings	4975.38
768648915	53131302	savings	7382.09
778006055	443635013	savings	6232.17
787421163	56257466	savings	9257.42
812985793	232460712	savings	5949.43
843717750	177177283	savings	803.81
885344983	110723639	savings	9424.98
102290381	938945342	savings	9181.34
108640974	114766277	savings	2523.31
113436998	829779494	savings	3968.35
223456789	818248364	savings	2896.84
233577339	99321669	savings	5155.84
278591375	425277036	savings	5672.97
360329806	101388944	savings	8249.76
398435354	628637128	savings	6810.47
406024015	553470303	savings	2093.85
472278615	410174938	savings	3521.45
473608343	594564951	savings	3822.25
738455694	184695208	savings	2865.11
742563623	532811008	savings	286.49
784157044	638111553	savings	5561.23
921987501	663028634	savings	7163.05
936316509	813280380	savings	2890.85
101571684	4507553	ira	8941.37
102391698	1931864	ira	2368.64
103800073	3132102	ira	7517.70
123456789	8407776	ira	7462.36
173532139	4011339	ira	5890.61
182046691	9423291	ira	4859.38
185087986	5557099	ira	9704.34
206325998	5302839	ira	1082.20
221186335	4265867	ira	2821.85
260841567	6528424	ira	8364.11
321814559	3714106	ira	318.60
558423921	1787543	ira	3529.46
973620541	4098087	ira	8528.75
101365448	9757912	ira	305.69
106156373	4023383	ira	5061.08
108464216	3316836	ira	806.72
145905469	7727290	ira	4650.50
152025988	1796651	ira	9778.10
221768372	340619	ira	7197.73
240885881	63552	ira	9933.50
256049755	7583820	ira	9488.50
308977335	4408694	ira	3822.97
321633007	7974979	ira	2208.56
323456789	8963596	ira	3464.42
383024175	2321163	ira	9039.35
385891261	4048207	ira	5541.28
395671951	1185128	ira	9240.25
423456789	9605538	ira	1501.78
424815458	8956174	ira	8703.96
430536017	7144416	ira	5768.31
464745931	9736567	ira	6457.94
487821862	890619	ira	6374.75
490431211	6885189	ira	6820.28
512233580	3504507	ira	7217.29
514327696	6212871	ira	4345.50
579181690	4890258	ira	4525.42
590752990	6205353	ira	7157.80
623456789	4391240	ira	437.42
645013108	3754702	ira	1733.32
653815620	1812622	ira	6855.55
655568196	3632793	ira	1644.30
699281889	1682678	ira	6444.04
702991608	6528767	ira	1127.30
712118749	6869036	ira	6194.62
759129944	5926081	ira	4231.60
807562098	6228485	ira	2178.11
860381565	5729627	ira	1126.21
878869247	8832326	ira	8835.05
879607164	1886137	ira	6395.92
918292513	2418181	ira	3127.34
940698189	2528722	ira	7497.17
961532374	7006886	ira	5335.39
107513713	2275349	ira	4407.83
111255833	2841970	ira	8570.58
164035602	6635011	ira	5405.47
194193160	9395224	ira	5609.13
224199639	2472591	ira	2782.96
237387731	4136269	ira	1190.25
251020925	9641648	ira	4278.90
280388304	146568	ira	2199.71
315466028	9299200	ira	7910.53
340612826	5136861	ira	2423.40
358334587	6261835	ira	1189.96
370619268	2251577	ira	9765.01
405545318	2190223	ira	3735.11
421645865	280561	ira	3445.70
452654266	1596944	ira	8824.30
479169879	180353	ira	2909.82
559716962	9990076	ira	3803.05
598708052	3815969	ira	1944.77
640467763	5545478	ira	2899.51
648088877	607095	ira	9452.09
654614611	8839672	ira	7880.78
681968180	3934115	ira	3902.20
718356822	6836758	ira	1057.77
747363679	4151887	ira	2973.08
777863516	2701437	ira	8253.35
854155949	5709987	ira	1230.14
863725941	1413279	ira	4.18
884807449	8892675	ira	7120.25
890073921	3255484	ira	9507.67
896012044	336489	ira	8366.75
926438277	2632579	ira	6099.67
954504541	4481855	ira	5252.69
976093589	3202674	ira	1019.61
995894500	4391400	ira	5486.85
109566079	5354315	ira	925.18
143013004	39160	ira	4506.98
165893029	5578989	ira	2196.15
249849795	9806175	ira	4389.25
301906633	9771345	ira	444.00
323290432	6761358	ira	1994.02
337689542	2448040	ira	3182.14
339801685	3286533	ira	732.89
379665922	2713140	ira	3089.11
402139305	7263228	ira	4397.81
416643890	8419066	ira	8685.02
417906597	4784387	ira	9418.27
467880015	8966084	ira	8522.03
475174199	2993408	ira	7831.34
516667749	6412359	ira	9896.72
591701279	237262	ira	267.43
639211095	1757566	ira	9549.29
737587797	3584508	ira	7370.51
748341678	8383663	ira	3621.19
804468290	7551755	ira	8124.77
812199213	5468578	ira	3437.16
819474523	7253603	ira	9455.93
847967465	9226493	ira	9575.89
870152970	2653052	ira	2304.23
102702547	156454	ira	1847.01
105162180	8287531	ira	5140.51
108960926	1371250	ira	521.59
109539925	906268	ira	9048.71
146897580	9814235	ira	2638.04
216752398	1057671	ira	9049.89
280990409	9967350	ira	37.95
315921553	4827713	ira	6857.48
409222565	8448817	ira	2831.34
411459232	5557124	ira	1354.94
444590853	1949139	ira	390.22
489580918	9347693	ira	8427.46
549328325	3660778	ira	2737.84
587466177	8483815	ira	6456.39
606767140	4783392	ira	3425.42
631265448	7729774	ira	9515.99
746003950	3701844	ira	1351.74
768648915	4210602	ira	4093.52
778006055	6898380	ira	984.54
798593330	8238113	ira	6638.10
812985793	2466493	ira	6903.99
820825233	4890381	ira	3090.49
978357193	3106348	ira	9211.02
102290381	6047283	ira	28.20
113436998	3558803	ira	8060.21
127987528	3942685	ira	839.43
223456789	9528279	ira	9660.09
233577339	9597795	ira	8842.13
243410846	560053	ira	6548.39
360329806	5133634	ira	8676.76
398435354	3884125	ira	5471.99
406024015	2121915	ira	3486.84
722108157	8532779	ira	7858.73
101571684	9039135	checking	3835.81
102038555	2061631	checking	8800.73
102391698	7818775	checking	2691.67
103800073	2047	checking	1935.21
123456789	9669910	checking	2543.92
172043022	3709872	checking	917.60
173532139	3458370	checking	4539.06
182046691	2320191	checking	7983.77
185087986	2958285	checking	840.11
198954255	5325695	checking	4108.14
202482094	4563634	checking	493.74
206325998	8777794	checking	2407.75
221186335	5705376	checking	1303.62
247811059	9401995	checking	3099.10
260841567	7289514	checking	7150.27
306561062	3882814	checking	7963.26
321814559	8167836	checking	6949.41
342318690	243559	checking	369.55
547254546	1117098	checking	4476.82
558423921	9032829	checking	1733.67
580371717	1569874	checking	2648.35
753521368	8532145	checking	4715.66
973620541	7981877	checking	5762.40
100600830	4866352	checking	7044.57
101365448	623794	checking	1985.26
102167101	8054912	checking	4318.78
106019727	7429182	checking	4189.56
106156373	8660247	checking	732.56
107012483	7682056	checking	6212.60
107018299	8016844	checking	1446.41
108464216	3181526	checking	1568.40
108766985	8297401	checking	6781.82
145905469	9016890	checking	4738.99
149447554	6644301	checking	9004.52
152025988	5089700	checking	8434.94
217539041	6905586	checking	9223.12
221768372	5398829	checking	9324.79
228641820	427487	checking	4163.05
230023176	9532786	checking	5174.78
230376238	7275547	checking	853.39
240885881	2440321	checking	9641.43
256049755	886178	checking	5506.60
283027380	4874481	checking	7852.60
283380197	4639545	checking	9639.93
296837757	4281027	checking	2485.34
308977335	9583605	checking	462.01
321633007	3559252	checking	6410.22
323456789	1373334	checking	7636.02
326849645	4060082	checking	7392.36
349675990	4781547	checking	1730.66
383024175	4308648	checking	6351.27
385891261	8830385	checking	5098.13
395671951	8999485	checking	9703.04
416809538	1516755	checking	8474.65
423456789	7822966	checking	3690.89
424815458	4985566	checking	3855.15
430536017	4319054	checking	29.82
464745931	7191922	checking	5870.16
479583491	7775041	checking	1264.72
487821862	2998475	checking	1198.22
490431211	6995659	checking	1383.64
498558351	5931234	checking	5505.24
512233580	9732520	checking	2146.87
514327696	1536768	checking	1243.24
519282621	1605915	checking	4299.84
523456789	6681470	checking	507.82
524651343	2494695	checking	950.01
579181690	7265981	checking	3479.87
590752990	5601387	checking	7567.33
623456789	1032516	checking	2460.57
645013108	9205317	checking	8644.86
653815620	5608376	checking	2107.28
655568196	3711285	checking	2234.58
699281889	39040	checking	3491.46
702991608	7340180	checking	6226.52
712118749	9112069	checking	6880.78
716904543	7067691	checking	4696.11
723456789	2277502	checking	7299.16
759129944	9663312	checking	6419.07
767711085	3105420	checking	6269.89
781557659	2033172	checking	1356.20
787365949	681483	checking	9338.81
788327896	4649627	checking	5231.69
807562098	2209563	checking	5352.75
812861121	135044	checking	4616.98
823136509	2679770	checking	9547.91
860381565	9700230	checking	9857.43
878869247	186443	checking	1359.93
879607164	6240339	checking	7121.89
918292513	6888452	checking	3076.58
940698189	4717537	checking	4357.95
961532374	7637127	checking	5111.79
107513713	2647574	checking	7902.50
111255833	1569767	checking	4141.34
116038141	5997402	checking	7562.99
164035602	9822738	checking	6424.72
194193160	2655409	checking	4002.87
224199639	2048125	checking	8232.01
237387731	5015691	checking	382.41
243283441	6864995	checking	3177.73
243599720	5293685	checking	6935.22
248039987	8795056	checking	3169.61
251020925	9462895	checking	7805.64
272419273	639501	checking	9780.59
280388304	6984460	checking	5580.52
281917658	6949229	checking	8004.58
315466028	9175209	checking	1862.31
320090430	1785905	checking	3342.60
329466563	1355309	checking	6748.73
340612826	9677733	checking	8142.47
358334587	1679150	checking	3968.34
370619268	4804245	checking	2116.21
379337964	6168304	checking	4492.90
401544506	3959578	checking	6319.19
405545318	9717235	checking	9628.59
410842623	8991271	checking	6070.57
421645865	3379020	checking	8683.40
452654266	3279940	checking	349.50
479169879	1907679	checking	8489.89
504823810	6726433	checking	8162.48
529583206	633115	checking	8678.12
550933025	1491279	checking	1422.02
559716962	2636264	checking	8915.26
598708052	6667502	checking	6591.73
640467763	2956165	checking	5005.62
648088877	6159622	checking	5781.24
654614611	427328	checking	4792.92
655245985	2682638	checking	9034.42
678325950	7124165	checking	8517.58
681968180	1215384	checking	524.19
718356822	8974820	checking	3301.52
734783088	9583119	checking	8011.05
738520455	1305885	checking	2496.28
747363679	8563734	checking	5329.84
766251694	957986	checking	8800.41
768253114	1128116	checking	9239.33
777863516	2812324	checking	6343.62
832244955	3281107	checking	7374.69
835430078	7030119	checking	3026.53
854155949	4042301	checking	1131.91
863725941	3532639	checking	4267.47
884807449	739441	checking	894.79
890073921	2255630	checking	8593.77
896012044	6201988	checking	5228.61
896187673	7537111	checking	1999.71
926438277	7387213	checking	936.94
946313360	2523047	checking	9804.42
948514166	1452966	checking	7851.57
954504541	4898941	checking	940.00
957367964	3173	checking	7195.87
976093589	5969818	checking	8261.49
995894500	3397985	checking	2205.46
101154450	833348	checking	7550.36
102547670	5251752	checking	3607.68
106175264	2283156	checking	592.73
107537026	6114188	checking	8792.75
109566079	5621172	checking	1727.62
143013004	1774573	checking	3690.01
157834749	3126339	checking	4561.66
165893029	3429273	checking	3461.39
213217793	7019132	checking	4711.49
234539919	2500055	checking	8365.80
249785243	4328861	checking	6546.89
249849795	9747861	checking	9098.64
278764478	6249601	checking	3952.09
301906633	1011670	checking	3202.07
309246610	2975327	checking	5270.43
321105199	7426170	checking	1319.56
323290432	4319284	checking	7637.74
337689542	5230859	checking	3241.07
339801685	512773	checking	2840.65
377648552	2664952	checking	4802.80
379665922	6019127	checking	5687.24
402139305	378845	checking	4832.49
403334235	3025905	checking	632.06
416643890	4082584	checking	8516.74
417906597	335953	checking	6129.54
436193123	9639846	checking	9810.61
467880015	133498	checking	1235.67
475174199	5777854	checking	5182.26
476395975	8577737	checking	7341.91
516667749	976319	checking	2855.88
582959263	1350425	checking	8184.49
590033522	6871202	checking	9802.52
591701279	8399006	checking	2587.46
612695553	7740298	checking	939.10
623846578	1474611	checking	4555.75
639211095	8354924	checking	8107.37
642866267	5472060	checking	3038.20
